year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1995,VNM,BFA,ALL,67177.77,0.00%
1995,VNM,CAF,ALL,514674.15,0.00%
1995,VNM,CIV,ALL,58011.71,0.00%
1995,VNM,CMR,ALL,97669,0.00%
1995,VNM,COG,ALL,24018.39,0.00%
1995,VNM,DZA,ALL,3045918,0.01%
1995,VNM,EGY,ALL,2004172.01,0.01%
1995,VNM,ETH,ALL,6721108.07,0.02%
1995,VNM,GIN,ALL,501237.81,0.00%
1995,VNM,MDG,ALL,58962.92,0.00%
1995,VNM,MUS,ALL,1735714.92,0.01%
1995,VNM,NER,ALL,59760.85,0.00%
1995,VNM,SDN,ALL,1379844.58,0.00%
1995,VNM,SYC,ALL,10551,0.00%
1995,VNM,TCD,ALL,63364.31,0.00%
1995,VNM,TGO,ALL,270465.31,0.00%
1995,VNM,TUN,ALL,1369375.58,0.00%
1995,VNM,TZA,ALL,148144.85,0.00%
1995,VNM,UGA,ALL,1103468.68,0.00%
1995,VNM,ZAF,ALL,1086686,0.00%
1995,VNM,ZMB,ALL,498829.15,0.00%
1995,VNM,ZWE,ALL,3461937.03,0.01%
1995,VNM,BGD,ALL,356926.28,0.00%
1995,VNM,CHN,ALL,58936545.91,0.17%
1995,VNM,HKG,ALL,31827160.99,0.09%
1995,VNM,IDN,ALL,25947698.89,0.08%
1995,VNM,IND,ALL,33478005.23,0.10%
1995,VNM,JOR,ALL,50046.5,0.00%
1995,VNM,JPN,ALL,329282342.5,0.95%
1995,VNM,KGZ,ALL,325299,0.00%
1995,VNM,KOR,ALL,1436899.4,0.00%
1995,VNM,MAC,ALL,41018,0.00%
1995,VNM,MDV,ALL,81002.96,0.00%
1995,VNM,MYS,ALL,438410.88,0.00%
1995,VNM,SAU,ALL,37505702.62,0.11%
1995,VNM,SGP,ALL,775952.31,0.00%
1995,VNM,THA,ALL,2995924.5,0.01%
1995,VNM,TUR,ALL,567111.05,0.00%
1995,VNM,AND,ALL,59863,0.00%
1995,VNM,BLX,ALL,2693997.82,0.01%
1995,VNM,CHE,ALL,1039014.26,0.00%
1995,VNM,CZE,ALL,732661.84,0.00%
1995,VNM,DEU,ALL,38899053.18,0.11%
1995,VNM,DNK,ALL,1280768.28,0.00%
1995,VNM,ESP,ALL,3417359.24,0.01%
1995,VNM,EST,ALL,266491.63,0.00%
1995,VNM,FIN,ALL,94373,0.00%
1995,VNM,FRA,ALL,20920630.19,0.06%
1995,VNM,GBR,ALL,259318.06,0.00%
1995,VNM,GRC,ALL,2003022.53,0.01%
1995,VNM,HRV,ALL,205958.55,0.00%
1995,VNM,HUN,ALL,320539.93,0.00%
1995,VNM,IRL,ALL,4456019.39,0.01%
1995,VNM,ISL,ALL,33545,0.00%
1995,VNM,ITA,ALL,3697789.73,0.01%
1995,VNM,LTU,ALL,46311.35,0.00%
1995,VNM,LVA,ALL,1807154.58,0.01%
1995,VNM,MDA,ALL,1488,0.00%
1995,VNM,NLD,ALL,2874529.18,0.01%
1995,VNM,NOR,ALL,7999.03,0.00%
1995,VNM,POL,ALL,11586403.81,0.03%
1995,VNM,PRT,ALL,79689,0.00%
1995,VNM,ROU,ALL,139294.09,0.00%
1995,VNM,SVK,ALL,705910.28,0.00%
1995,VNM,SVN,ALL,134167.01,0.00%
1995,VNM,SWE,ALL,847942.11,0.00%
1995,VNM,CAN,ALL,377082.18,0.00%
1995,VNM,CRI,ALL,2588843.9,0.01%
1995,VNM,GRD,ALL,15859.6,0.00%
1995,VNM,GRL,ALL,16753.61,0.00%
1995,VNM,GTM,ALL,837038.14,0.00%
1995,VNM,HND,ALL,8123835.9,0.02%
1995,VNM,KNA,ALL,186851.89,0.00%
1995,VNM,LCA,ALL,548558.8,0.00%
1995,VNM,MEX,ALL,193657174.8,0.56%
1995,VNM,NIC,ALL,184852.02,0.00%
1995,VNM,TTO,ALL,583051.97,0.00%
1995,VNM,AUS,ALL,360760.63,0.00%
1995,VNM,NZL,ALL,10112.6,0.00%
1995,VNM,BOL,ALL,292773,0.00%
1995,VNM,BRA,ALL,4444460.25,0.01%
1995,VNM,CHL,ALL,478202.83,0.00%
1995,VNM,COL,ALL,4173808.59,0.01%
1995,VNM,PER,ALL,519383.4,0.00%
1995,VNM,SUR,ALL,1196006.77,0.00%
1995,VNM,URY,ALL,51779.67,0.00%
1995,VNM,VEN,ALL,32480.7,0.00%
1996,VNM,BFA,ALL,141525.02,0.00%
1996,VNM,CAF,ALL,295472.22,0.00%
1996,VNM,CIV,ALL,57674.74,0.00%
1996,VNM,CMR,ALL,1797,0.00%
1996,VNM,DZA,ALL,2230352,0.01%
1996,VNM,EGY,ALL,230149.25,0.00%
1996,VNM,GAB,ALL,143787.68,0.00%
1996,VNM,GHA,ALL,3637798.17,0.01%
1996,VNM,GIN,ALL,382235.08,0.00%
1996,VNM,GMB,ALL,34687.44,0.00%
1996,VNM,MDG,ALL,382291.5,0.00%
1996,VNM,MLI,ALL,212973.78,0.00%
1996,VNM,MUS,ALL,2135456.44,0.01%
1996,VNM,NER,ALL,25112.05,0.00%
1996,VNM,NGA,ALL,2073982.63,0.01%
1996,VNM,SDN,ALL,557246.68,0.00%
1996,VNM,SEN,ALL,49023.62,0.00%
1996,VNM,SYC,ALL,2611,0.00%
1996,VNM,TGO,ALL,346755.88,0.00%
1996,VNM,TUN,ALL,587915.94,0.00%
1996,VNM,TZA,ALL,76247.21,0.00%
1996,VNM,UGA,ALL,824660.95,0.00%
1996,VNM,ZAF,ALL,1614320,0.00%
